Source path,Class name,Method name,Method signature,Cyclomatic complexity,Cognitive complexity,Max nesting depth,Line count,Parameter count,ABC score,Assignments,Branches,Conditions,Halstead volume,Halstead difficulty,Halstead estimated bugs
src/test/java/org/openrewrite/mainframe/cobol/search/FindCopybookTest.java,org.openrewrite.mainframe.cobol.search.FindCopybookTest,sm206a,"org.openrewrite.mainframe.cobol.search.FindCopybookTest{name=sm206a,return=void,parameters=[]}",1,0,0,16,0,14.0,0,14,0,325.58,9.66,0.07
src/test/java/org/openrewrite/mainframe/cobol/search/FindIndicatorsTest.java,org.openrewrite.mainframe.cobol.search.FindIndicatorsTest,defaults,"org.openrewrite.mainframe.cobol.search.FindIndicatorsTest{name=defaults,return=void,parameters=[org.openrewrite.test.RecipeSpec]}",1,0,0,5,1,2.0,0,2,0,15.51,1.0,0.0
src/test/java/org/openrewrite/mainframe/cobol/search/FindIndicatorsTest.java,org.openrewrite.mainframe.cobol.search.FindIndicatorsTest$1,visitMarker,"org.openrewrite.mainframe.cobol.search.FindIndicatorsTest$1{name=visitMarker,return=Generic{M extends org.openrewrite.marker.Marker},parameters=[org.openrewrite.marker.Marker,java.util.List<org.openrewrite.marker.SearchResult>]}",2,1,1,7,2,2.0,0,2,0,48.43,3.75,0.01
src/test/java/org/openrewrite/mainframe/cobol/search/FindIndicatorsTest.java,org.openrewrite.mainframe.cobol.search.FindIndicatorsTest,sm206a,"org.openrewrite.mainframe.cobol.search.FindIndicatorsTest{name=sm206a,return=void,parameters=[]}",1,0,0,731,0,18.03,1,18,0,385.36,10.68,0.09
src/test/java/org/openrewrite/mainframe/cobol/search/FindRelationshipsTest.java,org.openrewrite.mainframe.cobol.search.FindRelationshipsTest,defaults,"org.openrewrite.mainframe.cobol.search.FindRelationshipsTest{name=defaults,return=void,parameters=[org.openrewrite.test.RecipeSpec]}",1,0,0,5,1,2.0,0,2,0,11.61,1.0,0.0
src/test/java/org/openrewrite/mainframe/cobol/search/FindRelationshipsTest.java,org.openrewrite.mainframe.cobol.search.FindRelationshipsTest,IC201A,"org.openrewrite.mainframe.cobol.search.FindRelationshipsTest{name=IC201A,return=void,parameters=[]}",1,0,0,47,0,24.0,0,24,0,589.54,10.71,0.11
src/test/java/org/openrewrite/mainframe/cobol/search/FindRelationshipsTest.java,org.openrewrite.mainframe.cobol.search.FindRelationshipsTest,includeCopybookWithCopyAndInclude,"org.openrewrite.mainframe.cobol.search.FindRelationshipsTest{name=includeCopybookWithCopyAndInclude,return=void,parameters=[]}",1,0,0,37,0,23.0,0,23,0,503.61,10.48,0.1
src/test/java/org/openrewrite/mainframe/cobol/search/FindRelationshipsTest.java,org.openrewrite.mainframe.cobol.search.FindRelationshipsTest,execSqlCreateTable,"org.openrewrite.mainframe.cobol.search.FindRelationshipsTest{name=execSqlCreateTable,return=void,parameters=[]}",1,0,0,46,0,26.0,0,26,0,576.64,10.43,0.11
src/test/java/org/openrewrite/mainframe/cobol/search/FindRelationshipsTest.java,org.openrewrite.mainframe.cobol.search.FindRelationshipsTest,execSqlReadTable,"org.openrewrite.mainframe.cobol.search.FindRelationshipsTest{name=execSqlReadTable,return=void,parameters=[]}",1,0,0,67,0,29.0,0,29,0,681.37,11.18,0.13
src/test/java/org/openrewrite/mainframe/cobol/search/FindRelationshipsTest.java,org.openrewrite.mainframe.cobol.search.FindRelationshipsTest,execSqlUpdateTable,"org.openrewrite.mainframe.cobol.search.FindRelationshipsTest{name=execSqlUpdateTable,return=void,parameters=[]}",1,0,0,60,0,26.0,0,26,0,582.14,10.57,0.11
