Source path,Class name,Line count,Method count,Field count,WMC,LCOM4,TCC,CBO,Maintainability index
src/test/java/org/openrewrite/mainframe/jcl/tree/IncludeTest.java,org.openrewrite.mainframe.jcl.tree.IncludeTest,25,2,0,2,2,0.0,3,67.18126082789432
src/test/java/org/openrewrite/mainframe/jcl/tree/JclLibTest.java,org.openrewrite.mainframe.jcl.tree.JclLibTest,75,9,0,9,9,0.0,3,71.98213923341267
src/test/java/org/openrewrite/mainframe/jcl/tree/JclTest.java,org.openrewrite.mainframe.jcl.tree.JclTest,117,8,0,8,8,0.0,3,66.61345466584869
src/test/java/org/openrewrite/mainframe/jcl/tree/Jes2Test.java,org.openrewrite.mainframe.jcl.tree.Jes2Test,10,1,0,1,1,1.0,2,70.59565800357515
src/test/java/org/openrewrite/mainframe/jcl/tree/Jes3Test.java,org.openrewrite.mainframe.jcl.tree.Jes3Test,9,1,0,1,1,1.0,2,71.5938102571756
src/test/java/org/openrewrite/mainframe/jcl/tree/JobTest.java,org.openrewrite.mainframe.jcl.tree.JobTest,68,8,0,8,8,0.0,3,71.75450315700117
src/test/java/org/openrewrite/mainframe/jcl/tree/OutputTest.java,org.openrewrite.mainframe.jcl.tree.OutputTest,61,7,0,7,7,0.0,3,71.46792403339715
src/test/java/org/openrewrite/mainframe/jcl/tree/ParserAssertions.java,org.openrewrite.mainframe.jcl.tree.ParserAssertions,52,8,0,8,3,0.0,13,69.04097272230426
src/test/java/org/openrewrite/mainframe/jcl/tree/PendTest.java,org.openrewrite.mainframe.jcl.tree.PendTest,19,1,0,1,1,1.0,3,62.30655474835927
src/test/java/org/openrewrite/mainframe/jcl/tree/ProcTest.java,org.openrewrite.mainframe.jcl.tree.ProcTest,40,4,0,4,4,0.0,3,69.87646636124514
src/test/java/org/openrewrite/mainframe/jcl/tree/SetTest.java,org.openrewrite.mainframe.jcl.tree.SetTest,61,7,0,7,7,0.0,3,71.46792403339715
src/test/java/org/openrewrite/mainframe/jcl/tree/UnknownTest.java,org.openrewrite.mainframe.jcl.tree.UnknownTest,45,2,0,2,2,0.0,2,62.91316121836783
src/test/java/org/openrewrite/mainframe/jcl/tree/XmitTest.java,org.openrewrite.mainframe.jcl.tree.XmitTest,61,7,0,7,7,0.0,3,71.46792403339715
src/main/java/org/openrewrite/mainframe/cobol/Assertions.java,org.openrewrite.mainframe.cobol.Assertions,233,29,0,46,6,0.0,40,65.11552100394559
src/main/java/org/openrewrite/mainframe/cobol/CobolIsoVisitor.java,org.openrewrite.mainframe.cobol.CobolIsoVisitor,2268,453,0,453,453,0.0,454,74.94376932451623
src/main/java/org/openrewrite/mainframe/cobol/CobolLineReader.java,org.openrewrite.mainframe.cobol.CobolLineReader,163,4,3,42,1,0.0,9,43.59295253231123
src/main/java/org/openrewrite/mainframe/cobol/CobolParser.java,org.openrewrite.mainframe.cobol.CobolParser,171,5,5,13,4,0.1,31,48.481893996382816
src/main/java/org/openrewrite/mainframe/cobol/CobolParsingException.java,org.openrewrite.mainframe.cobol.CobolParsingException,10,1,1,1,1,1.0,1,68.58910133025125
src/main/java/org/openrewrite/mainframe/cobol/CobolPreprocessorIsoVisitor.java,org.openrewrite.mainframe.cobol.CobolPreprocessorIsoVisitor,132,26,0,26,26,0.0,28,74.88828384885171
src/main/java/org/openrewrite/mainframe/cobol/CobolPreprocessorParser.java,org.openrewrite.mainframe.cobol.CobolPreprocessorParser,135,4,3,7,4,0.0,28,48.147083052090245
src/main/java/org/openrewrite/mainframe/cobol/CobolPreprocessorVisitor.java,org.openrewrite.mainframe.cobol.CobolPreprocessorVisitor,263,29,1,32,2,0.0024630541871921183,21,61.69712686430642
src/main/java/org/openrewrite/mainframe/cobol/CobolPrinterUtils.java,org.openrewrite.mainframe.cobol.CobolPrinterUtils,35,5,0,10,4,0.0,4,68.70902006090675
src/main/java/org/openrewrite/mainframe/cobol/CobolStringUtils.java,org.openrewrite.mainframe.cobol.CobolStringUtils,22,4,1,5,3,0.16666666666666666,1,74.29575640672391
src/main/java/org/openrewrite/mainframe/cobol/CobolVisitor.java,org.openrewrite.mainframe.cobol.CobolVisitor,3974,460,1,471,3,0.0,170,61.66117175744402
src/main/java/org/openrewrite/mainframe/cobol/CopybookAssertions.java,org.openrewrite.mainframe.cobol.CopybookAssertions,44,6,0,6,2,0.0,6,68.89737014008603
src/main/java/org/openrewrite/mainframe/cobol/CopybookParser.java,org.openrewrite.mainframe.cobol.CopybookParser,139,6,2,9,5,0.0,27,53.508106479090415
src/main/java/org/openrewrite/mainframe/cobol/CopybookParsingException.java,org.openrewrite.mainframe.cobol.CopybookParsingException,10,1,1,1,1,1.0,1,68.58910133025125
src/main/java/org/openrewrite/mainframe/cobol/NameVisitor.java,org.openrewrite.mainframe.cobol.NameVisitor,2885,447,0,447,447,0.0,2,68.6669710182096
src/main/java/org/openrewrite/mainframe/cobol/PreprocessCopyVisitor.java,org.openrewrite.mainframe.cobol.PreprocessCopyVisitor,116,13,3,17,1,0.7435897435897436,14,64.71527756659052
src/main/java/org/openrewrite/mainframe/cobol/PreprocessReplaceVisitor.java,org.openrewrite.mainframe.cobol.PreprocessReplaceVisitor,541,6,1,27,2,0.06666666666666667,23,38.194738526458224
